Date,Participant ID,File ID,Age,Gender,Handedness,Vision,Native Language,Eligible,Proficiency in other languages,Calibration Q,Experimenter,Start Time,End Time,
14.07,1,101,22,M,N,Normal,German,Y,English,ok,,,,
6.7.26,1,42,25,m,R,Normal,german,Y,english,,-,,,
06.07.2026,2,2,22,Male,R,Corrected - glasses,arabic,Y,english,,,,,
14/07/26,2,102,24,M,R,Corrected - glasses,Marathi,Y,"English,Hindi",ok,,,,
14.07.2026,3,103,23,male,R,Normal,persian,Y,"Engisch, German",,,,,
,4,104,23,M,R,Corrected - glasses,tamil,Y,German,,,,,
,5,105,23,M,L,Corrected - glasses,Tamil,Y,German,,,,,
14-07-2026,6,106,24,M,R,Corrected - glasses,Marathi,Y,"Hindi, English",ok,,,,
15/07/2026,7,107,22,f,R,Corrected - glasses,German,Y,"English, French",ok,,,,
12.07.26,10,43,28,M,L,Corrected - glasses,Arabic,Y,English-LTR,ok,,,,
12 July 2026,11,44,25,Male,R,Normal,arabic,Y,"English-LTR, Deutsch-LTR",,,,,
12.07,12,45,26,M,R,Corrected - glasses,Arabic,Y,"English-LTR, German-LTR",,,,,
,14,51,24,M,R,Normal,Tamil,Y,English,Ok,Junichi,,,
15.07,15,52,24,F,R,Normal,Farsi,Y,"English, German",Ok,,,,
15.07,16,54,29,F,R,Corrected - glasses,Farsi,Y,English,Ok,,,,
21.07,17,60,32,F,R,Corrected - glasses,Farsi,,,,,,,
21.07,18,61,33,F,R,Corrected - glasses,farsi,Y,en,ok,sanaz,10:40,10:53,
30.07,19,62,27,M,R,Corrected - glasses,Indonasian,Y,"en, de",ok,Junichi,15:50,15:57,
14.08,20,63,28,M,R,Normal,German,Y,en,ok,Junichi,14:50,15:05,
20.08,21,64,35,F,R,Normal,farsi,Y,en,ok,Junichi,,,
20.08,22,65,36,M,L,Corrected - glasses,Farsi,Y,"en, de",ok,Junichi,17:21,17:32,
25.08,23,66,33,F,R,Corrected - glasses,Farsi,Y,"en,de",ok,sanaz,14:45,14:55,66
12.07.2026,13,46,24,Male,R,Normal,Arabic,Y,English-LTR,,,,,
,,108,25,female,R,Corrected - glasses,marathi,Y,"English, hindi",ok,,,,
23/08/2026,109,109,26,m,R,Normal,arabic,Y,english-ltr,ok,,,,
23.08.2026,110,110,25,m,R,Normal,Arabic,Y,"English-LTR, German-LTR",ok,,,,
26.08.2026,,111,35,Female,R,Normal,Farsi,Y,English-Kurdish,ok,Nikhil,,,
