"BLOCK_SIZE","DEADLINE_MS","NUM_BLOCKS","acc","accuracy","average_response_time","avg_rt","background","block_index","canvas_backend","central_fixation","clock_backend","color_backend","coordinates","correct","correct_Circle","correct_response_prompt","count_Circle","count_calibration_note","count_epilogue","count_experiment","count_fixation","count_fixation_cross_inline_script","count_goodbye","count_init_experiment","count_instructions","count_iti","count_language_selection","count_log_trial","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_pygaze_log","count_new_advanced_delay","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_position_randomization_inline_script","count_prime_display","count_record_response","count_response_prompt","count_set_prime","count_stimulus_display","count_stimulus_positions_inline_script","count_trial_loop","count_trial_sequence","count_trigger_fixation","count_trigger_stimulus","count_welcome","d","datetime","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","first_fix_rt","first_fix_side","first_fix_x","first_fix_y","fixation_found","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","group","gx","gy","height","idx","img_left","img_right","key","keyboard_backend","lang","live_row","live_row_trial_loop","logfile","margin","mouse_backend","mouse_simulation","onset","opensesame_codename","opensesame_version","pos","position","prime_condition","prime_index","prime_lang","prime_text","repeat_cycle","response","response_Circle","response_count","response_new_1_sketchpad","response_new_sketchpad","response_response_prompt","response_time","response_time_Circle","response_time_new_1_sketchpad","response_time_new_sketchpad","response_time_response_prompt","round_decimals","sampler_backend","seq","show_prime","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","t0","target_x_left","target_x_right","target_y_left","target_y_right","time_Circle","time_calibration_note","time_epilogue","time_experiment","time_fixation","time_fixation_cross_inline_script","time_goodbye","time_init_experiment","time_instructions","time_iti","time_language_selection","time_log_trial","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_pygaze_log","time_new_advanced_delay","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_position_randomization_inline_script","time_prime_display","time_record_response","time_response_prompt","time_set_prime","time_stimulus_display","time_stimulus_positions_inline_script","time_trial_loop","time_trial_sequence","time_trigger_fixation","time_trigger_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","trial_nr","txt_calibration","txt_goodbye","txt_instructions","txt_response_prompt","txt_welcome","ui_language","width","xL","xR","x_left","x_right","yL","yR","y_left","y_right"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","0","0","0","0","0","NA","0","0","0","NA","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","97.1914755705005","Fri Aug 14 15:07:00 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","325.0119999999879","000.png","534.25152","382.87296","True","False","mono","False","18","no","white","no","yes","LTR","534.25152","382.87296","864","0","000.png","001.png","2","psycho","English","0","0","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-63.csv","150","psycho","no","132106.9918","Neonatal Nightingale","4.1.14","1","1","prime_1","1","LTR","On a sunny farm, a mother duck waited for her eggs to hatch. The eggs cracked open one by one, and fluffy yellow ducklings came out. One egg was bigger and took longer to hatch.","0","2","space","2","NA","NA","2","9375.569099999935","7867.051500000001","NA","NA","9375.569099999935","2","psycho","1,5,2,3,6,4,2,5,3,4,1,6,4,5,6,3,2,1,2,3,4,1,5,6,5,1,4,6,2,3,3,4,6,2,5,1,2,1,5,6,3,4,4,3,2,5,6,1","True","1024","2","48000","-16","experiment","63","odd","130.6930599","460.0","1076.0","432.0","432.0","109523.34060000001","NA","NA","18282.766100000004","130692.98619999998","130693.04179999998","NA","30807.168099999984","67687.5293","NA","18282.963800000005","146503.163","130678.8817","NA","131080.86130000002","131094.09889999998","32694.842399999998","137110.736","117390.9437","NA","NA","118098.93059999999","118202.6544","146503.1213","137126.75320000004","118202.60520000002","132097.4213","132094.31049999996","118099.06600000002","118202.23009999999","132097.47710000002","132106.95769999997","30807.242900000005","Attentional Spatial Bias","0","0","0","1","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-308","308","-308","308","0","0","0","0"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","1","1","0","0","0","NA","0","1","1","NA","1","1","0","1","0","0","NA","0","1","1","1","1","1","1","0","1","1","1","0","93.45305565777927","Fri Aug 14 15:07:00 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","316.901499999949","002.png","635.73504","603.91872","True","False","mono","False","18","no","white","no","yes","LTR","635.73504","603.91872","864","0","002.png","003.png","2","psycho","English","1","1","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-63.csv","150","psycho","no","147790.7582","Neonatal Nightingale","4.1.14","5","5","no_prime_trial_2","2","LTR","","0","2","space","2","NA","NA","2","1204.935199999978","7867.051500000001","NA","NA","1204.935199999978","2","psycho","1, 5, 2, 3, 6, 4, 2, 5, 3, 4, 1, 6, 4, 5, 6, 3, 2, 1, 2, 3, 4, 1, 5, 6, 5, 1, 4, 6, 2, 3, 3, 4, 6, 2, 5, 1, 2, 1, 5, 6, 3, 4, 4, 3, 2, 5, 6, 1","False","1024","2","48000","-16","experiment","63","odd","146.6345059","614.0","922.0","699.0","165.0","109523.34060000001","NA","NA","18282.766100000004","146634.3982","146634.4796","NA","30807.168099999984","67687.5293","NA","18282.963800000005","154007.10840000003","146623.1608","NA","146769.6879","146775.3158","32694.842399999998","152793.3526","117390.9437","NA","NA","118098.93059999999","146623.1385","154007.07789999997","152801.3514","146623.08169999998","147779.58920000002","147775.8398","118099.06600000002","146622.11950000003","147779.6423","147790.7214","30807.242900000005","Attentional Spatial Bias","0","0","0","2","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","267","-267","267","-267"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","2","2","0","0","0","NA","0","2","2","NA","2","2","0","2","0","0","NA","0","2","2","2","2","2","2","0","2","2","2","0","28.808569860956286","Fri Aug 14 15:07:00 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","285.35679999997956","004.png","625.1519999999999","328.51008","True","False","mono","False","18","no","white","no","yes","LTR","625.1519999999999","328.51008","864","0","004.png","005.png","2","psycho","English","2","2","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-63.csv","150","psycho","no","155441.3992","Neonatal Nightingale","4.1.14","2","2","no_prime_trial_3","3","LTR","","0","2","space","2","NA","NA","2","1450.3883000000205","7867.051500000001","NA","NA","1450.3883000000205","2","psycho","1, 5, 2, 3, 6, 4, 2, 5, 3, 4, 1, 6, 4, 5, 6, 3, 2, 1, 2, 3, 4, 1, 5, 6, 5, 1, 4, 6, 2, 3, 3, 4, 6, 2, 5, 1, 2, 1, 5, 6, 3, 4, 4, 3, 2, 5, 6, 1","False","1024","2","48000","-16","experiment","63","odd","154.1446084","501.0","1035.0","278.0","586.0","109523.34060000001","NA","NA","18282.766100000004","154144.49570000003","154144.5823","NA","30807.168099999984","67687.5293","NA","18282.963800000005","161903.1626","154132.77300000002","NA","154423.057","154428.7666","32694.842399999998","160443.57549999998","117390.9437","NA","NA","118098.93059999999","154132.7529","161903.11770000003","160451.90089999998","154132.7034","155432.30809999997","155429.1684","118099.06600000002","154132.1829","155432.36499999996","155441.36260000002","30807.242900000005","Attentional Spatial Bias","0","0","0","3","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-267","267","-267","267","-154","154","-154","154"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","3","3","0","0","0","NA","0","3","3","NA","3","3","0","3","0","0","NA","0","3","3","3","3","3","3","0","3","3","3","0","38.85881183846976","Fri Aug 14 15:07:00 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","208.8469000000332","006.png","685.9008","290.31264","True","False","mono","False","18","no","white","no","yes","LTR","685.9008","290.31264","864","0","006.png","007.png","2","psycho","English","3","3","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-63.csv","150","psycho","no","163157.10249999998","Neonatal Nightingale","4.1.14","3","3","no_prime_trial_4","4","LTR","","0","2","space","2","NA","NA","2","1256.4163000000117","7867.051500000001","NA","NA","1256.4163000000117","2","psycho","1, 5, 2, 3, 6, 4, 2, 5, 3, 4, 1, 6, 4, 5, 6, 3, 2, 1, 2, 3, 4, 1, 5, 6, 5, 1, 4, 6, 2, 3, 3, 4, 6, 2, 5, 1, 2, 1, 5, 6, 3, 4, 4, 3, 2, 5, 6, 1","False","1024","2","48000","-16","experiment","63","odd","162.05320600000002","614.0","922.0","165.0","699.0","109523.34060000001","NA","NA","18282.766100000004","162053.09480000002","162053.18289999999","NA","30807.168099999984","67687.5293","NA","18282.963800000005","169422.89800000002","162040.97420000003","NA","162140.2844","162146.22449999998","32694.842399999998","168157.7478","117390.9437","NA","NA","118098.93059999999","162040.9528","169422.8679","168165.90269999998","162040.9","163149.58950000003","163146.3509","118099.06600000002","162039.8719","163149.64059999996","163157.0682","30807.242900000005","Attentional Spatial Bias","0","0","0","4","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","-267","267","-267","267"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","4","4","0","0","0","NA","0","4","4","NA","4","4","0","4","0","0","NA","0","4","4","4","4","4","4","0","4","4","4","0","54.6133277476039","Fri Aug 14 15:07:00 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","315.11610000001383","009.png","891.52512","343.90656","True","False","mono","False","18","no","white","no","yes","LTR","891.52512","343.90656","864","0","008.png","009.png","2","psycho","English","4","4","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-63.csv","150","psycho","no","170739.20799999998","Neonatal Nightingale","4.1.14","6","6","no_prime_trial_5","5","LTR","","0","0","space","0","NA","NA","0","1113.6690999999992","7867.051500000001","NA","NA","1113.6690999999992","2","psycho","1, 5, 2, 3, 6, 4, 2, 5, 3, 4, 1, 6, 4, 5, 6, 3, 2, 1, 2, 3, 4, 1, 5, 6, 5, 1, 4, 6, 2, 3, 3, 4, 6, 2, 5, 1, 2, 1, 5, 6, 3, 4, 4, 3, 2, 5, 6, 1","False","1024","2","48000","-16","experiment","63","odd","169.56612069999997","501.0","1035.0","586.0","278.0","109523.34060000001","NA","NA","18282.766100000004","169565.9962","169566.09440000003","NA","30807.168099999984","67687.5293","NA","18282.963800000005","176862.85189999998","169554.02790000002","NA","169718.7314","169724.35420000003","32694.842399999998","175740.65019999997","117390.9437","NA","NA","118098.93059999999","169554.0056","176862.82479999997","175748.6032","169553.94550000003","170728.17169999998","170724.41160000002","118099.06600000002","169553.1888","170728.24289999998","170739.16629999998","30807.242900000005","Attentional Spatial Bias","0","0","0","5","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-267","267","-267","267","154","-154","154","-154"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","5","5","0","0","0","NA","0","5","5","NA","5","5","0","5","0","0","NA","0","5","5","5","5","5","5","0","5","5","5","0","91.43967326681786","Fri Aug 14 15:07:00 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","193.4327999999805","010.png","781.0559999999999","256.53024","True","False","mono","False","18","no","white","no","yes","LTR","781.0559999999999","256.53024","864","0","010.png","011.png","2","psycho","English","5","5","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-63.csv","150","psycho","no","178014.71080000003","Neonatal Nightingale","4.1.14","4","4","no_prime_trial_6","6","LTR","","0","2","space","2","NA","NA","2","981.5593000000226","7867.051500000001","NA","NA","981.5593000000226","2","psycho","1, 5, 2, 3, 6, 4, 2, 5, 3, 4, 1, 6, 4, 5, 6, 3, 2, 1, 2, 3, 4, 1, 5, 6, 5, 1, 4, 6, 2, 3, 3, 4, 6, 2, 5, 1, 2, 1, 5, 6, 3, 4, 4, 3, 2, 5, 6, 1","False","1024","2","48000","-16","experiment","63","odd","176.98476029999998","768.0","768.0","124.0","740.0","109523.34060000001","NA","NA","18282.766100000004","176984.6649","176984.738","NA","30807.168099999984","67687.5293","NA","18282.963800000005","184006.8908","176972.9928","NA","176995.61020000002","177001.2693","32694.842399999998","183016.6753","117390.9437","NA","NA","118098.93059999999","176972.9662","184006.8625","183024.68989999997","176972.89789999998","178005.29140000002","178001.81530000002","118099.06600000002","176972.389","178005.34989999997","178014.67740000002","30807.242900000005","Attentional Spatial Bias","0","0","0","6","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","0","0","0","0","-308","308","-308","308"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","6","6","0","0","0","NA","0","6","6","NA","6","6","0","6","0","0","NA","0","6","6","6","6","6","6","0","6","6","6","0","56.14213006358766","Fri Aug 14 15:07:00 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","222.67220000003","012.png","649.97376","347.32800000000003","True","False","mono","False","18","no","white","no","yes","LTR","649.97376","347.32800000000003","864","1","012.png","013.png","2","psycho","English","6","6","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-63.csv","150","psycho","no","196897.06679999997","Neonatal Nightingale","4.1.14","2","2","prime_2","7","LTR","A big grey bird came out of the last egg. He looked different from the others. The ducklings laughed and called him ugly. Sad and alone, he ran away from the farm.","0","1","space","1","NA","NA","1","727.5574999999953","7867.051500000001","NA","NA","727.5574999999953","2","psycho","1, 5, 2, 3, 6, 4, 2, 5, 3, 4, 1, 6, 4, 5, 6, 3, 2, 1, 2, 3, 4, 1, 5, 6, 5, 1, 4, 6, 2, 3, 3, 4, 6, 2, 5, 1, 2, 1, 5, 6, 3, 4, 4, 3, 2, 5, 6, 1","True","1024","2","48000","-16","experiment","63","odd","195.6326723","501.0","1035.0","278.0","586.0","109523.34060000001","NA","NA","18282.766100000004","195632.59209999998","195632.65290000002","NA","30807.168099999984","67687.5293","NA","18282.963800000005","202638.8668","195623.1402","NA","195878.74559999997","195884.57880000002","32694.842399999998","201902.3915","117390.9437","NA","NA","118098.93059999999","184130.61930000002","202638.83030000003","201910.6947","184130.5537","196887.95580000003","196884.783","118099.06600000002","184129.66680000004","196888.0146","196897.0325","30807.242900000005","Attentional Spatial Bias","0","0","0","7","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-267","267","-267","267","-154","154","-154","154"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","7","7","0","0","0","NA","0","7","7","NA","7","7","0","7","0","0","NA","0","7","7","7","7","7","7","0","7","7","7","0","77.07439248468454","Fri Aug 14 15:07:00 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","299.6889000000374","014.png","715.19232","566.8444800000001","True","False","mono","False","18","no","white","no","yes","LTR","715.19232","566.8444800000001","864","1","014.png","015.png","2","psycho","English","7","7","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-63.csv","150","psycho","no","203801.74409999998","Neonatal Nightingale","4.1.14","5","5","no_prime_trial_8","8","LTR","","0","2","space","2","NA","NA","2","787.2785999999905","7867.051500000001","NA","NA","787.2785999999905","2","psycho","1, 5, 2, 3, 6, 4, 2, 5, 3, 4, 1, 6, 4, 5, 6, 3, 2, 1, 2, 3, 4, 1, 5, 6, 5, 1, 4, 6, 2, 3, 3, 4, 6, 2, 5, 1, 2, 1, 5, 6, 3, 4, 4, 3, 2, 5, 6, 1","False","1024","2","48000","-16","experiment","63","odd","202.77974989999998","614.0","922.0","699.0","165.0","109523.34060000001","NA","NA","18282.766100000004","202779.6397","202779.7242","NA","30807.168099999984","67687.5293","NA","18282.963800000005","209598.8842","202767.51440000001","NA","202785.0187","202790.7437","32694.842399999998","208803.2257","117390.9437","NA","NA","118098.93059999999","202767.4918","209598.8544","208811.0672","202767.41890000002","203794.2667","203791.2239","118099.06600000002","202766.3901","203794.3132","203801.70769999997","30807.242900000005","Attentional Spatial Bias","0","0","0","8","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","267","-267","267","-267"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","8","8","0","0","0","NA","0","8","8","NA","8","8","0","8","0","0","NA","0","8","8","8","8","8","8","0","8","8","8","0","49.22267003332501","Fri Aug 14 15:07:00 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","217.7627999999968","000.png","667.5148800000001","233.064","True","False","mono","False","18","no","white","no","yes","LTR","667.5148800000001","233.064","864","1","000.png","001.png","2","psycho","English","8","8","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-63.csv","150","psycho","no","210748.9139","Neonatal Nightingale","4.1.14","3","3","no_prime_trial_9","9","LTR","","0","2","space","2","NA","NA","2","1016.6431999999913","7867.051500000001","NA","NA","1016.6431999999913","2","psycho","1, 5, 2, 3, 6, 4, 2, 5, 3, 4, 1, 6, 4, 5, 6, 3, 2, 1, 2, 3, 4, 1, 5, 6, 5, 1, 4, 6, 2, 3, 3, 4, 6, 2, 5, 1, 2, 1, 5, 6, 3, 4, 4, 3, 2, 5, 6, 1","False","1024","2","48000","-16","experiment","63","odd","209.72729089999999","614.0","922.0","165.0","699.0","109523.34060000001","NA","NA","18282.766100000004","209727.10199999998","209727.25469999996","NA","30807.168099999984","67687.5293","NA","18282.963800000005","216775.42409999997","209715.6318","NA","209732.7458","209738.5235","32694.842399999998","215749.745","117390.9437","NA","NA","118098.93059999999","209715.6097","216775.3898","215757.73690000002","209715.556","210742.83210000003","210739.1438","118099.06600000002","209715.06530000002","210742.89070000002","210748.87879999998","30807.242900000005","Attentional Spatial Bias","0","0","0","9","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","-267","267","-267","267"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","9","9","0","0","0","NA","0","9","9","NA","9","9","0","9","0","0","NA","0","9","9","9","9","9","9","0","9","9","9","0","72.62961351788125","Fri Aug 14 15:07:00 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","295.9313999999722","002.png","780.8716800000001","261.36","True","False","mono","False","18","no","white","no","yes","LTR","780.8716800000001","261.36","864","1","002.png","003.png","2","psycho","English","9","9","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-63.csv","150","psycho","no","218010.546","Neonatal Nightingale","4.1.14","4","4","no_prime_trial_10","10","LTR","","0","2","space","2","NA","NA","2","1359.6412999999593","7867.051500000001","NA","NA","1359.6412999999593","2","psycho","1, 5, 2, 3, 6, 4, 2, 5, 3, 4, 1, 6, 4, 5, 6, 3, 2, 1, 2, 3, 4, 1, 5, 6, 5, 1, 4, 6, 2, 3, 3, 4, 6, 2, 5, 1, 2, 1, 5, 6, 3, 4, 4, 3, 2, 5, 6, 1","False","1024","2","48000","-16","experiment","63","odd","216.8979661","768.0","768.0","124.0","740.0","109523.34060000001","NA","NA","18282.766100000004","216897.8446","216897.93920000002","NA","30807.168099999984","67687.5293","NA","18282.963800000005","224383.02180000002","216885.2848","NA","216995.34429999997","217000.84790000002","32694.842399999998","223012.84309999997","117390.9437","NA","NA","118098.93059999999","216885.2653","224382.99049999999","223022.67320000002","216885.2237","218004.37600000002","218001.1772","118099.06600000002","216884.826","218004.42469999997","218010.5253","30807.242900000005","Attentional Spatial Bias","0","0","0","10","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","0","0","0","0","-308","308","-308","308"
