CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
29685	201.95670	2753533721	0.63865	0.58324	201.92300	0.03369	774	1	0.63556	0.62689	1	0.68261	0.53960	1	0.65909	0.58325	1	0.42946	0.33463	15.72203	0.98941	1	0.68280	0.32876	15.11028	0.98941	1	-0.01857	0.03309	0.67669	0.00315	1	0.04678	0.03416	0.67367	0.00323	1	0.74023	0.16667	0	
29686	201.96320	2753598824	0.64164	0.58239	201.92300	0.04019	774	1	0.63589	0.62172	1	0.68329	0.53291	1	0.65959	0.57732	1	0.42966	0.33513	15.57624	0.99774	1	0.68283	0.32917	15.02658	0.99774	1	-0.01918	0.03411	0.70085	0.00322	1	0.04678	0.03405	0.67368	0.00327	1	0.74023	0.16667	0	START_TRIAL
29687	201.96944	2753661242	0.64165	0.58252	201.92300	0.04643	774	1	0.63778	0.62383	1	0.64568	0.54291	1	0.64173	0.58337	1	0.42934	0.33563	15.99178	1.00607	1	0.68277	0.32937	15.17678	1.00607	1	-0.01918	0.03411	0.70085	0.00320	1	0.04678	0.03405	0.67368	0.00327	1	0.74023	0.16667	0	
29688	201.97630	2753729837	0.64227	0.58151	201.92300	0.05330	774	1	0.64005	0.62235	1	0.65442	0.52450	1	0.64724	0.57343	1	0.42942	0.33575	16.13881	1.01441	1	0.68276	0.32922	15.01759	1.01441	1	-0.01918	0.03411	0.70085	0.00319	1	0.04678	0.03405	0.67368	0.00323	1	0.74023	0.16667	0	
29689	201.98314	2753798239	0.64277	0.58070	201.92300	0.06013	774	1	0.64005	0.62235	1	0.65442	0.52450	1	0.64724	0.57343	1	0.42985	0.33602	15.77397	1.01441	1	0.68290	0.33020	14.91043	1.01441	1	-0.01881	0.03320	0.68525	0.00320	1	0.04678	0.03385	0.67367	0.00318	1	0.74023	0.16667	0	
29690	201.98953	2753862179	0.64348	0.57568	201.92300	0.06653	774	1	0.65114	0.55345	1	0.65003	0.49753	1	0.65058	0.52549	1	0.42934	0.33648	16.25304	1.00607	1	0.68279	0.32987	15.17485	1.00607	1	-0.01881	0.03320	0.68525	0.00330	1	0.04678	0.03385	0.67367	0.00323	1	0.74023	0.16667	0	
29691	201.99637	2753930478	0.64422	0.57617	201.92300	0.07336	774	1	0.64392	0.60732	1	0.66075	0.55572	1	0.65234	0.58152	1	0.42966	0.33657	16.00465	0.99774	1	0.68280	0.33024	15.31635	0.99774	1	-0.01881	0.03320	0.68525	0.00327	1	0.04678	0.03385	0.67367	0.00318	1	0.74023	0.16667	0	
29692	202.00339	2754000724	0.64484	0.57658	201.92300	0.08038	774	1	0.64392	0.60732	1	0.66075	0.55572	1	0.65234	0.58152	1	0.42946	0.33677	16.21541	0.99774	1	0.68293	0.33072	15.43285	0.99774	1	-0.01919	0.03364	0.69748	0.00321	1	0.04678	0.03365	0.67368	0.00310	1	0.74023	0.16667	0	
29693	202.01016	2754068478	0.64571	0.57788	201.92300	0.08716	774	1	0.65518	0.61277	1	0.65866	0.57675	1	0.65692	0.59476	1	0.42939	0.33689	16.03530	1.00607	1	0.68283	0.33105	15.38616	1.00607	1	-0.01919	0.03364	0.69748	0.00321	1	0.04678	0.03365	0.67368	0.00323	1	0.74023	0.16667	0	
29694	202.01645	2754131304	0.64662	0.57387	201.92300	0.09344	774	1	0.66410	0.52855	1	0.65467	0.50699	1	0.65938	0.51777	1	0.42924	0.33721	16.11484	1.01441	1	0.68282	0.33095	15.48045	1.01441	1	-0.01919	0.03364	0.69748	0.00328	1	0.04678	0.03365	0.67368	0.00314	1	0.74023	0.16667	0	
