CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
223114	1499.62756	5954419416926	0.47152	0.30200	1499.58069	0.04688	1187	1	0.49422	0.26274	1	0.44195	0.30886	1	0.46808	0.28580	1	0.32974	0.49609	21.03427	0.97463	1	0.61866	0.48531	21.68037	0.96764	1	-0.04219	-0.00121	0.64533	0.00365	1	0.02916	0.00085	0.63141	0.00372	1	1.37539	0.39792	0	
223115	1499.63416	5954419483917	0.47291	0.30155	1499.58069	0.05347	1187	1	0.50561	0.26551	1	0.46246	0.33037	1	0.48403	0.29794	1	0.32972	0.49606	20.80503	0.96764	1	0.61878	0.48535	21.64014	0.96065	1	-0.04219	-0.00121	0.64533	0.00370	1	0.02916	0.00085	0.63141	0.00372	1	1.37539	0.39792	0	START_TRIAL
223116	1499.64038	5954419545755	0.47411	0.30221	1499.58069	0.05969	1187	1	0.50622	0.27585	1	0.46370	0.34037	1	0.48496	0.30811	1	0.33004	0.49600	20.78681	0.96065	1	0.61904	0.48536	21.04843	0.95366	1	-0.04205	-0.00121	0.64607	0.00362	1	0.02978	0.00086	0.64060	0.00375	1	1.37539	0.39792	0	
223117	1499.64722	5954419614628	0.47367	0.30372	1499.58069	0.06653	1187	1	0.46852	0.26968	1	0.46989	0.36790	1	0.46920	0.31879	1	0.33015	0.49595	20.89694	0.95366	1	0.61936	0.48547	21.09028	0.95366	1	-0.04205	-0.00121	0.64607	0.00366	1	0.02978	0.00086	0.64060	0.00377	1	1.37539	0.39792	0	
223118	1499.65393	5954419681279	0.47481	0.30273	1499.58069	0.07324	1187	1	0.49176	0.28730	1	0.48300	0.29653	1	0.48738	0.29191	1	0.33027	0.49606	20.46005	0.95366	1	0.61948	0.48558	21.01580	0.95366	1	-0.04205	-0.00121	0.64607	0.00368	1	0.02978	0.00086	0.64060	0.00377	1	1.37539	0.39792	0	
223119	1499.66052	5954419746731	0.47562	0.30026	1499.58069	0.07983	1187	1	0.49107	0.27688	1	0.47951	0.26423	1	0.48529	0.27055	1	0.33048	0.49609	20.79828	0.96070	1	0.61964	0.48566	21.07180	0.97555	1	-0.04294	-0.00119	0.66212	0.00371	1	0.03262	0.00079	0.69932	0.00374	1	1.37539	0.39792	0	
223120	1499.66748	5954419816213	0.47665	0.29698	1499.58069	0.08679	1187	1	0.51437	0.27316	1	0.46575	0.23568	1	0.49006	0.25442	1	0.33071	0.49571	20.66133	0.98259	1	0.61979	0.48573	20.93773	0.99744	1	-0.04294	-0.00119	0.66212	0.00365	1	0.03262	0.00079	0.69932	0.00377	1	1.37539	0.39792	0	
223121	1499.67407	5954419883181	0.47680	0.29378	1499.58069	0.09338	1187	1	0.48532	0.22326	1	0.47267	0.27465	1	0.47899	0.24896	1	0.33079	0.49564	20.73072	1.00448	1	0.61985	0.48565	21.01156	1.01933	1	-0.04294	-0.00119	0.66212	0.00366	1	0.03262	0.00079	0.69932	0.00377	1	1.37539	0.39792	0	
223122	1499.68066	5954419948561	0.47690	0.29030	1499.58069	0.09998	1187	1	0.48388	0.20140	1	0.47267	0.27465	1	0.47827	0.23803	1	0.33085	0.49537	20.41416	1.01933	1	0.62008	0.48548	20.99180	1.01933	1	-0.04139	-0.00105	0.63893	0.00365	1	0.03209	0.00087	0.68586	0.00376	1	1.37539	0.39792	0	
223123	1499.68750	5954420016797	0.47487	0.28763	1499.58069	0.10681	1187	1	0.46200	0.21632	1	0.42279	0.27365	1	0.44240	0.24498	1	0.33112	0.49517	20.91370	1.01230	1	0.62028	0.48549	20.93118	0.99744	1	-0.04139	-0.00105	0.63893	0.00359	1	0.03209	0.00087	0.68586	0.00379	1	1.37539	0.39792	0	
