subject_nr,group,arrangement,n_trials,mean_p_right,ci_lo,ci_hi
43,LTR,"(7, 1)",3,0.0,0.0,0.0
44,RTL,"(7, 1)",2,0.0,0.0,0.0
51,LTR,"(7, 1)",8,0.875,0.625,1.0
52,RTL,"(7, 1)",8,0.5,0.125,0.875
54,RTL,"(7, 1)",8,0.625,0.25,0.875
43,LTR,"(8, 2)",2,0.0,0.0,0.0
44,RTL,"(8, 2)",3,0.0,0.0,0.0
51,LTR,"(8, 2)",8,0.5,0.125,0.875
52,RTL,"(8, 2)",8,0.75,0.375,1.0
54,RTL,"(8, 2)",8,1.0,1.0,1.0
43,LTR,"(9, 3)",8,0.0,0.0,0.0
44,RTL,"(9, 3)",8,0.0,0.0,0.0
51,LTR,"(9, 3)",8,0.125,0.0,0.375
52,RTL,"(9, 3)",8,0.25,0.0,0.625
54,RTL,"(9, 3)",8,0.625,0.25,0.875
43,LTR,"(10, 4)",8,0.0,0.0,0.0
44,RTL,"(10, 4)",8,0.0,0.0,0.0
51,LTR,"(10, 4)",8,0.5,0.125,0.875
52,RTL,"(10, 4)",8,0.125,0.0,0.375
54,RTL,"(10, 4)",8,0.375,0.125,0.75
43,LTR,"(11, 5)",8,0.0,0.0,0.0
44,RTL,"(11, 5)",8,0.0,0.0,0.0
51,LTR,"(11, 5)",8,0.125,0.0,0.375
52,RTL,"(11, 5)",8,0.0,0.0,0.0
54,RTL,"(11, 5)",8,0.375,0.0,0.75
43,LTR,"(12, 6)",1,0.0,,
51,LTR,"(12, 6)",8,0.125,0.0,0.375
52,RTL,"(12, 6)",8,0.375,0.125,0.75
54,RTL,"(12, 6)",8,0.125,0.0,0.375
