subject_nr,group,arrangement,n_trials,mean_p_right,ci_lo,ci_hi
43,LTR,"(7, 1)",3,1.0,1.0,1.0
44,RTL,"(7, 1)",2,1.0,1.0,1.0
51,LTR,"(7, 1)",8,0.875,0.625,1.0
52,RTL,"(7, 1)",8,0.5,0.125,0.875
54,RTL,"(7, 1)",8,0.625,0.25,0.875
43,LTR,"(8, 2)",2,0.0,0.0,0.0
44,RTL,"(8, 2)",4,0.25,0.0,0.75
51,LTR,"(8, 2)",8,0.625,0.25,0.8781249999999545
52,RTL,"(8, 2)",8,0.75,0.375,1.0
54,RTL,"(8, 2)",8,1.0,1.0,1.0
43,LTR,"(9, 3)",8,0.0,0.0,0.0
44,RTL,"(9, 3)",8,0.0,0.0,0.0
51,LTR,"(9, 3)",7,0.2857142857142857,0.0,0.5714285714285714
52,RTL,"(9, 3)",8,0.25,0.0,0.625
54,RTL,"(9, 3)",8,0.5,0.125,0.875
43,LTR,"(10, 4)",8,0.0,0.0,0.0
44,RTL,"(10, 4)",8,0.125,0.0,0.375
51,LTR,"(10, 4)",6,0.6666666666666666,0.3333333333333333,1.0
52,RTL,"(10, 4)",8,0.0,0.0,0.0
54,RTL,"(10, 4)",8,0.25,0.0,0.5
43,LTR,"(11, 5)",8,0.0,0.0,0.0
44,RTL,"(11, 5)",8,0.0,0.0,0.0
51,LTR,"(11, 5)",4,0.25,0.0,0.75
52,RTL,"(11, 5)",8,0.0,0.0,0.0
54,RTL,"(11, 5)",8,0.25,0.0,0.625
43,LTR,"(12, 6)",1,0.0,,
51,LTR,"(12, 6)",8,0.125,0.0,0.375
52,RTL,"(12, 6)",8,0.0,0.0,0.0
54,RTL,"(12, 6)",8,0.0,0.0,0.0
