group,hour,p
LTR,1,0.7392857142857142
LTR,2,0.4
LTR,3,0.1125
LTR,4,0.20535714285714288
LTR,5,0.12857142857142856
LTR,6,0.15
LTR,7,0.26071428571428573
LTR,8,0.6
LTR,9,0.8875
LTR,10,0.7946428571428571
LTR,11,0.8714285714285713
LTR,12,0.85
RTL,1,0.8015873015873016
RTL,2,0.7718253968253967
RTL,3,0.4305555555555556
RTL,4,0.25396825396825395
RTL,5,0.1527777777777778
RTL,6,0.041666666666666664
RTL,7,0.1984126984126984
RTL,8,0.22817460317460314
RTL,9,0.5694444444444444
RTL,10,0.746031746031746
RTL,11,0.8472222222222222
RTL,12,0.9583333333333334
