subject_nr,group,clock,n_trials,winsor_mean_rt_s,ci_lo,ci_hi
51,LTR,1,7,0.24987135714140354,0.20887678571307333,0.35150089714339255
52,RTL,1,4,0.23359032499865862,0.2118978500002413,0.2602032250033517
54,RTL,1,5,0.20434260000183713,0.19469484000001103,0.2113324800011469
51,LTR,2,4,0.24207579999892914,0.21382979999907548,0.28359479999926407
52,RTL,2,6,0.22583153333350006,0.20488119999936316,0.24016678333525002
54,RTL,2,8,0.20538324999870383,0.1922203125013766,0.28591784999662195
51,LTR,3,1,0.20564130000275327,,
52,RTL,3,2,0.2366677499958314,0.22422789999109227,0.24910760000057053
54,RTL,3,5,0.26136053999653086,0.21946945999807213,0.3083624599996256
51,LTR,4,4,0.2450268249994988,0.21170659999916097,0.28894492499966873
52,RTL,4,1,0.011631700006546453,,
54,RTL,4,3,0.19277910000043144,0.189770299999509,0.19430460000876337
51,LTR,5,1,0.34954039999865927,,
54,RTL,5,3,0.2302310999997038,0.15495880000526083,0.30769049999071285
51,LTR,6,1,0.22190770000452176,,
52,RTL,6,3,0.03546956666104961,0.0245574000000488,0.0542824999865843
54,RTL,6,1,0.11299490000237712,,
43,LTR,7,3,0.03219230000005337,0.031570200000016486,0.032684300000022634
44,RTL,7,2,1.0637111500000174,0.9506513999999734,1.1767709000000615
51,LTR,7,1,0.2641299999959301,,
52,RTL,7,4,0.35589149999941583,0.30707734999305103,0.4047056500057806
54,RTL,7,3,0.2498402666678885,0.23586050000449177,0.26646400000026915
43,LTR,8,2,0.40053590000001715,0.030755000000004657,0.7703168000000297
44,RTL,8,3,0.16221949999999682,0.03117070000007516,0.25235089999978666
51,LTR,8,4,0.19148132499867643,0.18617049999556912,0.19806377500208328
52,RTL,8,2,0.2378184500048519,0.23666419999790375,0.23897270001180004
43,LTR,9,8,0.08025899999994363,0.03123908749993643,0.1293525749999826
44,RTL,9,8,0.04802127499997551,0.03139302500007034,0.5530912250000002
51,LTR,9,7,0.21143117142907744,0.18288840000085266,0.25921228571366683
52,RTL,9,6,0.27078253333456814,0.2271670666668797,0.3155874000003678
54,RTL,9,3,0.2747581333339137,0.2230513999966206,0.3251012999971863
43,LTR,10,8,0.04681456250000701,0.03123022500003572,0.1789226875000095
44,RTL,10,8,0.03141568749993348,0.029631015937477332,0.04904932374994891
51,LTR,10,4,0.20258930000090913,0.1881088500012993,0.222103000000061
52,RTL,10,7,0.26315972856536973,0.2350616428572851,0.31588595392448543
54,RTL,10,5,0.2272766199981561,0.21706222000357228,0.24674957999959587
43,LTR,11,8,0.03113204999995105,0.030582137499923192,0.03158719999996355
44,RTL,11,8,0.031541950000028005,0.031004830625035902,0.20041379999988565
51,LTR,11,7,0.20986541428490973,0.19864295000048254,0.23467127142794197
52,RTL,11,8,0.22469502500280214,0.21224952500415384,0.23714839999956894
54,RTL,11,5,0.21015268000192008,0.20332928000425454,0.259452659994713
43,LTR,12,1,0.13561609999989738,,
51,LTR,12,7,0.26791345714445924,0.22964211428812373,0.30820331428757136
52,RTL,12,5,0.2559907199960435,0.2356394999922486,0.3046343800029717
54,RTL,12,7,0.2075577285702041,0.20293225714288252,0.24037778571572344
