subject_nr,group,clock,n_trials,winsor_mean_rt_s,ci_lo,ci_hi
43,LTR,1,3,0.4263933333333701,0.40131000000008044,0.45587000000000444
44,RTL,1,2,1.3264900000000353,1.2125200000000405,1.44046000000003
51,LTR,1,7,0.2604071428572102,0.22010710714293885,0.3655799999999739
52,RTL,1,4,0.3164374999998927,0.23800749999986692,0.423464999999851
54,RTL,1,5,0.21845800000010057,0.19424200000048586,0.22500000000027284
44,RTL,2,1,0.5157200000000444,,
51,LTR,2,5,0.2717260000000806,0.21692000000007283,0.38964599999994787
52,RTL,2,6,0.35054333333327276,0.22310666666661896,0.7325649999999465
54,RTL,2,8,0.24365500000004658,0.233338531250169,0.3162315000001314
51,LTR,3,2,0.622859999999946,0.20751999999993131,1.0381999999999607
52,RTL,3,2,0.25787500000001273,0.24781000000007225,0.2679399999999532
54,RTL,3,4,0.34155250000003434,0.28478750000022046,0.4084450000000288
44,RTL,4,1,0.40192000000001826,,
51,LTR,4,4,0.2679450000000543,0.22107000000005428,0.3215025000000651
54,RTL,4,2,0.18090499999971144,0.1406200000001263,0.22118999999929656
51,LTR,5,1,0.3615700000000288,,
54,RTL,5,2,0.297729999999774,0.2541499999997541,0.34130999999979394
51,LTR,6,1,0.26794999999992797,,
51,LTR,7,1,0.25452000000018415,,
52,RTL,7,4,0.34382749999997486,0.29658999999992375,0.4100975000000062
54,RTL,7,3,0.26342666666672204,0.2543900000000576,0.2746600000000399
43,LTR,8,2,0.7870499999999652,0.5559700000000021,1.0181299999999283
44,RTL,8,3,0.5694833333333046,0.3482699999999568,0.7171099999999342
51,LTR,8,3,0.6275633333333795,0.22118999999997868,1.2662300000001778
52,RTL,8,2,0.264554999999973,0.2611699999999928,0.2679399999999532
43,LTR,9,8,0.3524124999999927,0.30795999999998713,0.43435624999999334
44,RTL,9,8,0.3029575000000264,0.2829575000000091,0.8029862500000249
51,LTR,9,5,0.2519539999999779,0.17822799999999006,0.5303200000000743
52,RTL,9,6,0.2891666666666121,0.24114499999996042,0.34047833333325644
54,RTL,9,4,0.3969075000001112,0.2679400000001806,0.604490000000169
43,LTR,10,8,0.3340787499999891,0.284021249999995,0.5316599999999596
44,RTL,10,7,0.3337757142856991,0.3107540714285124,0.3559142857143018
51,LTR,10,2,0.21771499999988464,0.20763999999985572,0.22778999999991356
52,RTL,10,8,0.26519250000005457,0.23758500000002414,0.3096900000001028
54,RTL,10,6,0.2524033333334046,0.2333166666667239,0.2858100000000074
43,LTR,11,8,0.2954712499999914,0.27126750000000754,0.3182045312500302
44,RTL,11,8,0.31153250000000554,0.2914462499999928,0.5057437499999864
51,LTR,11,3,1.4245200000000295,0.7168000000001484,1.9759500000000116
52,RTL,11,8,0.2411037499999793,0.22669250000005547,0.2553999999999803
54,RTL,11,6,0.2521999999999025,0.21435666666654166,0.30016999999998006
43,LTR,12,1,0.42203000000000657,,
51,LTR,12,7,0.4144285714286135,0.23287428571432298,0.6085942857143242
52,RTL,12,8,0.30390999999993085,0.26364124999997784,0.34002749999990556
54,RTL,12,8,0.275423749999959,0.21343999999999141,0.400115000000028
